"MonthEnd","Coins","Count"
2020-12-31,"ADAUSDT,ALGOUSDT,ANKRUSDT,ATOMUSDT,BATUSDT,BNBUSDT,BTCUSDT,BTTUSDT,CELRUSDT,COSUSDT,DASHUSDT,DOGEUSDT,DUSKUSDT,ENJUSDT,EOSUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,GTOUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,LINKUSDT,LTCUSDT,MATICUSDT,MITHUSDT,NANOUSDT,NEOUSDT,NPXSUSDT,NULSUSDT,OMGUSDT,ONEUSDT,ONGUSDT,ONTUSDT,PAXUSDT,QTUMUSDT,TFUELUSDT,THETAUSDT,TRXUSDT,TUSDUSDT,USDCUSDT,VETUSDT,WAVESUSDT,WINUSDT,XLMUSDT,XMRUSDT,XRPUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",52
2021-01-31,"ADAUSDT,ALGOUSDT,ANKRUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BNBUSDT,BTCUSDT,BTTUSDT,BUSDUSDT,CELRUSDT,CHZUSDT,COCOSUSDT,COSUSDT,CVCUSDT,DASHUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DUSKUSDT,ENJUSDT,EOSUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FUNUSDT,GTOUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,KEYUSDT,LINKUSDT,LTCUSDT,MATICUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NPXSUSDT,NULSUSDT,OMGUSDT,ONEUSDT,ONGUSDT,ONTUSDT,PAXUSDT,PERLUSDT,QTUMUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TRXUSDT,TUSDUSDT,USDCUSDT,VETUSDT,WANUSDT,WAVESUSDT,WINUSDT,XLMUSDT,XMRUSDT,XRPUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",66
2021-02-28,"ADAUSDT,ALGOUSDT,ANKRUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BEAMUSDT,BNBUSDT,BTCUSDT,BTTUSDT,BUSDUSDT,CELRUSDT,CHZUSDT,COCOSUSDT,COSUSDT,CVCUSDT,DASHUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DUSKUSDT,ENJUSDT,EOSUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FUNUSDT,GTOUSDT,HBARUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,KEYUSDT,LINKUSDT,LTCUSDT,MATICUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OMGUSDT,ONEUSDT,ONGUSDT,ONTUSDT,PAXUSDT,PERLUSDT,QTUMUSDT,RENUSDT,RVNUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TRXUSDT,TUSDUSDT,USDCUSDT,VETUSDT,WANUSDT,WAVESUSDT,WINUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",72
2021-03-31,"ADAUSDT,ALGOUSDT,ANKRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BEAMUSDT,BNBUSDT,BTCUSDT,BTTUSDT,BUSDUSDT,CELRUSDT,CHZUSDT,COCOSUSDT,COSUSDT,CVCUSDT,DASHUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DUSKUSDT,ENJUSDT,EOSUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FUNUSDT,GTOUSDT,HBARUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,KAVAUSDT,KEYUSDT,LINKUSDT,LTCUSDT,MATICUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OMGUSDT,ONEUSDT,ONGUSDT,ONTUSDT,PAXUSDT,PERLUSDT,QTUMUSDT,RENUSDT,RLCUSDT,RVNUSDT,STXUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TRXUSDT,TUSDUSDT,USDCUSDT,VETUSDT,WANUSDT,WAVESUSDT,WINUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",77
2021-04-30,"ADAUSDT,ALGOUSDT,ANKRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BCHUSDT,BEAMUSDT,BNBUSDT,BTCUSDT,BTTUSDT,BUSDUSDT,CELRUSDT,CHZUSDT,COCOSUSDT,COSUSDT,CTXCUSDT,CVCUSDT,DASHUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DUSKUSDT,ENJUSDT,EOSUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FUNUSDT,GTOUSDT,HBARUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,KAVAUSDT,KEYUSDT,LINKUSDT,LTCUSDT,MATICUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OMGUSDT,ONEUSDT,ONGUSDT,ONTUSDT,PAXUSDT,PERLUSDT,QTUMUSDT,RENUSDT,RLCUSDT,RVNUSDT,STXUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TROYUSDT,TRXUSDT,TUSDUSDT,USDCUSDT,VETUSDT,VITEUSDT,WANUSDT,WAVESUSDT,WINUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",81
2021-05-31,"ADAUSDT,ALGOUSDT,ANKRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BCHUSDT,BEAMUSDT,BNBUSDT,BTCUSDT,BTTUSDT,BUSDUSDT,CELRUSDT,CHZUSDT,COCOSUSDT,COSUSDT,CTXCUSDT,CVCUSDT,DASHUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DUSKUSDT,ENJUSDT,EOSUSDT,ETCUSDT,ETHUSDT,EURUSDT,FETUSDT,FTMUSDT,FTTUSDT,FUNUSDT,GTOUSDT,HBARUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,KAVAUSDT,KEYUSDT,LINKUSDT,LTCUSDT,MATICUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OGNUSDT,OMGUSDT,ONEUSDT,ONGUSDT,ONTUSDT,PAXUSDT,PERLUSDT,QTUMUSDT,RENUSDT,RLCUSDT,RVNUSDT,STXUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TROYUSDT,TRXUSDT,TUSDUSDT,USDCUSDT,VETUSDT,VITEUSDT,WANUSDT,WAVESUSDT,WINUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",84
2021-06-30,"ADAUSDT,ALGOUSDT,ANKRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BCHUSDT,BEAMUSDT,BNBUSDT,BNTUSDT,BTCUSDT,BTSUSDT,BTTUSDT,BUSDUSDT,CELRUSDT,CHZUSDT,COCOSUSDT,COSUSDT,CTXCUSDT,CVCUSDT,DASHUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DREPUSDT,DUSKUSDT,ENJUSDT,EOSUSDT,ETCUSDT,ETHUSDT,EURUSDT,FETUSDT,FTMUSDT,FTTUSDT,FUNUSDT,GTOUSDT,HBARUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,KAVAUSDT,KEYUSDT,LINKUSDT,LSKUSDT,LTCUSDT,LTOUSDT,MATICUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OGNUSDT,OMGUSDT,ONEUSDT,ONGUSDT,ONTUSDT,PAXUSDT,PERLUSDT,QTUMUSDT,RENUSDT,RLCUSDT,RVNUSDT,STXUSDT,TCTUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TROYUSDT,TRXUSDT,TUSDUSDT,USDCUSDT,VETUSDT,VITEUSDT,WANUSDT,WAVESUSDT,WINUSDT,WRXUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",91
2021-07-31,"ADAUSDT,AIONUSDT,ALGOUSDT,ANKRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BCHUSDT,BEAMUSDT,BNBUSDT,BNTUSDT,BTCUSDT,BTSUSDT,BTTUSDT,BUSDUSDT,CELRUSDT,CHZUSDT,COCOSUSDT,COSUSDT,COTIUSDT,CTXCUSDT,CVCUSDT,DASHUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DREPUSDT,DUSKUSDT,ENJUSDT,EOSUSDT,ETCUSDT,ETHUSDT,EURUSDT,FETUSDT,FTMUSDT,FTTUSDT,FUNUSDT,GTOUSDT,HBARUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,KAVAUSDT,KEYUSDT,LINKUSDT,LSKUSDT,LTCUSDT,LTOUSDT,MATICUSDT,MBLUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OGNUSDT,OMGUSDT,ONEUSDT,ONGUSDT,ONTUSDT,PAXUSDT,PERLUSDT,QTUMUSDT,RENUSDT,RLCUSDT,RVNUSDT,STXUSDT,TCTUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TROYUSDT,TRXUSDT,TUSDUSDT,USDCUSDT,VETUSDT,VITEUSDT,WANUSDT,WAVESUSDT,WINUSDT,WRXUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",94
2021-08-31,"ADAUSDT,AIONUSDT,ALGOUSDT,ANKRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BCHUSDT,BEAMUSDT,BNBUSDT,BNTUSDT,BTCUSDT,BTSUSDT,BTTUSDT,BUSDUSDT,CELRUSDT,CHZUSDT,COCOSUSDT,COSUSDT,COTIUSDT,CTXCUSDT,CVCUSDT,DASHUSDT,DATAUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DREPUSDT,DUSKUSDT,ENJUSDT,EOSUSDT,ETCUSDT,ETHUSDT,EURUSDT,FETUSDT,FTMUSDT,FTTUSDT,FUNUSDT,GTOUSDT,HBARUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,KAVAUSDT,KEYUSDT,LINKUSDT,LSKUSDT,LTCUSDT,LTOUSDT,MATICUSDT,MBLUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OGNUSDT,OMGUSDT,ONEUSDT,ONGUSDT,ONTUSDT,PAXUSDT,PERLUSDT,QTUMUSDT,RENUSDT,RLCUSDT,RVNUSDT,STPTUSDT,STXUSDT,TCTUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TROYUSDT,TRXUSDT,TUSDUSDT,USDCUSDT,VETUSDT,VITEUSDT,WANUSDT,WAVESUSDT,WINUSDT,WRXUSDT,WTCUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",97
2021-09-30,"ADAUSDT,AIONUSDT,ALGOUSDT,ANKRUSDT,ARDRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BCHUSDT,BEAMUSDT,BNBUSDT,BNTUSDT,BTCDOWNUSDT,BTCUPUSDT,BTCUSDT,BTSUSDT,BTTUSDT,BUSDUSDT,CELRUSDT,CHRUSDT,CHZUSDT,COCOSUSDT,COSUSDT,COTIUSDT,CTSIUSDT,CTXCUSDT,CVCUSDT,DASHUSDT,DATAUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DREPUSDT,DUSKUSDT,ENJUSDT,EOSUSDT,ETCUSDT,ETHUSDT,EURUSDT,FETUSDT,FTMUSDT,FTTUSDT,FUNUSDT,GTOUSDT,GXSUSDT,HBARUSDT,HIVEUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,KAVAUSDT,KEYUSDT,LINKUSDT,LSKUSDT,LTCUSDT,LTOUSDT,MATICUSDT,MBLUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OGNUSDT,OMGUSDT,ONEUSDT,ONGUSDT,ONTUSDT,PAXUSDT,PERLUSDT,QTUMUSDT,RENUSDT,RLCUSDT,RVNUSDT,STPTUSDT,STXUSDT,TCTUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TROYUSDT,TRXUSDT,TUSDUSDT,USDCUSDT,VETUSDT,VITEUSDT,WANUSDT,WAVESUSDT,WINUSDT,WRXUSDT,WTCUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",104
