"STRATEGY","REBAL_FREQ","FORMATION_PERIOD","SHARPE","RET"
"MOM_1",8,5,0.655325779480203,0.128598533032992
"MOM_0",9,5,0.408557721669202,0.0796164862684308
"MOM_1",9,5,0.500018798666027,0.0907951358212211
"MOM_0",10,5,0.30293176975188,0.0655756200516484
"MOM_1",10,5,0.537166744577253,0.113508675207474
"MOM_0",11,5,0.817292122094704,0.180434988088532
"MOM_1",11,5,0.905542109434341,0.194252187896053
"MOM_0",12,5,0.412410382338921,0.0896187546246232
"MOM_1",12,5,0.273512636556433,0.0582334556399622
"MOM_0",1,6,0.705233675248193,0.162041330958352
"MOM_1",1,6,0.915012761363317,0.20011636185757
"MOM_0",2,6,0.699179221242323,0.158517127802873
"MOM_1",2,6,1.03182603134184,0.210728921402572
"MOM_0",3,6,0.80710574341524,0.174965288084659
"MOM_1",3,6,0.954312331187544,0.198982352923688
"MOM_0",4,6,0.87981503334127,0.197534789085358
"MOM_1",4,6,0.900866023186924,0.182621884909702
"MOM_0",5,6,0.686595067996373,0.144300263959328
"MOM_1",5,6,0.900113803480174,0.181121548111211
"MOM_0",6,6,0.792611568217286,0.164157915380666
"MOM_1",6,6,0.891200294405232,0.170580076649611
"MOM_0",7,6,0.858884931564029,0.177487103066869
"MOM_1",7,6,0.935667917085876,0.183463787639751
"MOM_0",8,6,0.644194476129765,0.129417719592593
"MOM_1",8,6,0.623028299344437,0.120569726934936
"MOM_0",9,6,0.40623927584338,0.0810779650195581
"MOM_1",9,6,0.606219821843337,0.116696664360194
"MOM_0",10,6,0.319494580253814,0.0692048548977247
"MOM_1",10,6,0.36811008122883,0.0802736280944005
"MOM_0",11,6,0.906552517638216,0.185555506797852
"MOM_1",11,6,1.00567926980065,0.197789280537197
"MOM_0",12,6,0.592176516993008,0.128371151523977
"MOM_1",12,6,0.527839327466265,0.112453078248842
"MOM_0",1,7,0.718677826264838,0.156155983614363
"MOM_1",1,7,1.09240742822817,0.222884971189819
"MOM_0",2,7,0.704782673469022,0.154336626655885
"MOM_1",2,7,1.14813906336968,0.236009185311993
"MOM_0",3,7,0.828841389580066,0.174931559872784
"MOM_1",3,7,0.829488852904478,0.170347744082173
"MOM_0",4,7,0.878054544896805,0.188227009871259
"MOM_1",4,7,1.04583841485978,0.203784089824093
"MOM_0",5,7,0.633674216769097,0.131987382040447
"MOM_1",5,7,0.835259148890806,0.163479427422943
"MOM_0",6,7,0.869236300209706,0.18414037157145
"MOM_1",6,7,0.917701920087118,0.180281639770424
"MOM_0",7,7,0.861753099060118,0.170066112975361
"MOM_1",7,7,0.994498508035032,0.186109798017557
"MOM_0",8,7,0.771621844437782,0.151040543588359
"MOM_1",8,7,0.86491932958328,0.162277565655669
"MOM_0",9,7,0.558776690876819,0.109177338432819
"MOM_1",9,7,0.71932653706336,0.135151219538575
"MOM_0",10,7,0.292533403593799,0.0625206359694179
"MOM_1",10,7,0.388425539523706,0.0834253354921879
"MOM_0",11,7,1.04965884314619,0.215188204996935
"MOM_1",11,7,1.11618328480902,0.222007069495044
"MOM_0",12,7,0.71114975816511,0.152473530523674
"MOM_1",12,7,0.535287125917476,0.112503768176541
"MOM_0",1,8,0.869081255946219,0.184809386377141
"MOM_1",1,8,1.13895850240911,0.244361878775664
"MOM_0",2,8,0.753331370927274,0.161511213335964
"MOM_1",2,8,1.02539561481509,0.209920815259171
"MOM_0",3,8,0.769217123106902,0.162551893770456
"MOM_1",3,8,0.784134219845605,0.156152606103802
"MOM_0",4,8,0.803980640741481,0.165489222301897
"MOM_1",4,8,0.886274029029175,0.178302629287012
"MOM_0",5,8,0.769155879499765,0.161165651550733
"MOM_1",5,8,0.886784016199551,0.179825460689008
"MOM_0",6,8,0.713361101215075,0.148560356849089
"MOM_1",6,8,0.942506639187167,0.184958584638598
"MOM_0",7,8,0.876643067079277,0.178475623473433
"MOM_1",7,8,1.06409603785555,0.210260392661934
"MOM_0",8,8,0.766874258720105,0.153770926773982
"MOM_1",8,8,0.866644697891441,0.173319646783473
"MOM_0",9,8,0.570497662126065,0.116318462102473
"MOM_1",9,8,0.768166647208078,0.151277763284292
"MOM_0",10,8,0.382982050556247,0.0812539807476735
"MOM_1",10,8,0.450190254129071,0.0970924236494621
"MOM_0",11,8,0.978640767060697,0.209350335689521
"MOM_1",11,8,0.983770429375517,0.202427030555936
"MOM_0",12,8,0.608627791953569,0.130754114689377
"MOM_1",12,8,0.543989368095798,0.116222545666132
"MOM_0",1,9,1.00477838431184,0.214143099586549
"MOM_1",1,9,1.0415230850814,0.218968916678854
"MOM_0",2,9,0.9433923005642,0.199858831470368
"MOM_1",2,9,1.03802708356237,0.212848975375962
"MOM_0",3,9,0.943348442161949,0.204046871791828
"MOM_1",3,9,0.894047157332538,0.178340263258064
"MOM_0",4,9,0.798227230507047,0.167840904060163
"MOM_1",4,9,0.781995008618306,0.161550434866013
"MOM_0",5,9,0.894864477436394,0.17899314741547
"MOM_1",5,9,1.01344875085827,0.195690055113652
"MOM_0",6,9,0.859367359862207,0.182620981836187
