Date,Quant Model NAV
2009-06-04,174.6946103
2009-06-05,176.0010632
2009-06-08,173.8569658
2009-06-09,178.7136516
2009-06-10,182.1532082
2009-06-11,181.6501184
2009-06-12,179.8095301
2009-06-15,177.7804908
2009-06-16,178.173538
2009-06-17,174.7487819
2009-06-18,172.33278
2009-06-19,174.9093048
2009-06-22,173.5121306
2009-06-23,173.0509437
2009-06-24,175.0664349
2009-06-25,174.353712
2009-06-26,177.0091741
2009-06-29,176.5045115
2009-06-30,174.7046913
2009-07-01,175.9612503
2009-07-02,176.5249443
2009-07-03,178.5116248
2009-07-06,171.7904493
2009-07-07,174.257015
2009-07-08,171.8994917
2009-07-09,172.5722834
2009-07-10,170.5230083
2009-07-13,169.3447442
2009-07-14,174.0145165
2009-07-15,178.3028188
2009-07-16,179.2113424
2009-07-17,184.2801116
2009-07-20,188.503999
2009-07-21,187.898718
2009-07-22,185.4701257
2009-07-23,189.1612582
2009-07-24,190.6027712
2009-07-27,190.4532779
2009-07-28,190.4008937
2009-07-29,188.577009
2009-07-30,190.3557868
2009-07-31,194.8229013
2009-08-03,196.5329017
2009-08-04,195.3090531
2009-08-05,196.2643005
2009-08-06,192.4677568
2009-08-07,189.6701294
2009-08-10,187.5673556
2009-08-11,188.0826341
2009-08-12,187.882309
2009-08-13,192.796199
2009-08-14,190.986738
2009-08-17,184.800381
2009-08-18,186.4094142
2009-08-19,184.1330785
2009-08-20,187.0929609
2009-08-21,189.8227695
2009-08-24,193.8959552
2009-08-25,195.5226694
2009-08-26,196.5232022
2009-08-27,196.5747906
2009-08-28,197.6347889
2009-08-31,195.9372281
2009-09-01,194.3103774
2009-09-02,194.1907563
2009-09-03,193.6516419
2009-09-04,196.7415039
2009-09-07,198.8932644
2009-09-08,198.9013356
2009-09-09,199.4187469
2009-09-10,199.4300229
2009-09-11,199.0649779
2009-09-14,199.0300033
2009-09-15,202.3327713
2009-09-16,204.3553301
2009-09-17,204.6393125
2009-09-18,205.1471002
2009-09-21,205.1471002
2009-09-22,207.3632053
2009-09-23,206.6044794
2009-09-24,207.7156619
2009-09-25,208.1790246
2009-09-28,208.1790246
2009-09-29,210.2477198
2009-09-30,212.1158778
2009-10-01,213.7140952
2009-10-02,213.7140952
2009-10-05,212.3967625
2009-10-06,213.5274434
2009-10-07,214.5018351
2009-10-08,214.6514889
2009-10-09,213.4593366
2009-10-12,217.0671514
2009-10-13,217.0671514
2009-10-14,219.8093854
2009-10-15,219.5416887
2009-10-16,219.0188061
2009-10-19,219.5107334
2009-10-20,218.0873619
2009-10-21,215.2481041
2009-10-22,213.3023183
2009-10-23,216.9260459
2009-10-26,216.4552004
2009-10-27,213.1333407
2009-10-28,213.2534688
2009-10-29,211.3498031
2009-10-30,211.9559366
2009-11-02,211.9559366
2009-11-03,207.7619545
2009-11-04,211.947835
2009-11-05,212.9292969
2009-11-06,214.8493114
2009-11-09,218.6606317
2009-11-10,218.2946849
2009-11-11,222.6722627
2009-11-12,221.3507607
2009-11-13,223.2437783
2009-11-16,224.9338359
2009-11-17,225.6800371
2009-11-18,226.0957101
2009-11-19,223.3803281
2009-11-20,225.2021663
2009-11-23,226.703069
2009-11-24,227.0789003
2009-11-25,228.7172768
2009-11-26,226.2734636
2009-11-27,222.4326374
2009-11-30,225.6497624
2009-12-01,229.4275127
2009-12-02,230.0236363
2009-12-03,230.5596202
2009-12-04,229.5714868
2009-12-07,229.029438
2009-12-08,232.0791731
2009-12-09,231.3659633
2009-12-10,231.0898203
2009-12-11,230.7616051
2009-12-14,231.6782
2009-12-15,228.8776886
2009-12-16,229.1500173
2009-12-17,230.3126183
2009-12-18,229.3836228
2009-12-21,227.807904
2009-12-22,228.1651869
2009-12-23,232.1619645
2009-12-24,233.5272985
2009-12-25,233.5272985
2009-12-28,233.5272985
2009-12-29,232.8139306
2009-12-30,232.3946897
2009-12-31,233.2655814
2010-01-01,233.2655814
2010-01-04,234.9367734
2010-01-05,237.2206417
2010-01-06,237.30944
2010-01-07,235.8143994
2010-01-08,234.7662438
2010-01-11,236.2249796
2010-01-12,237.0115324
2010-01-13,238.9748519
2010-01-14,240.5645438
2010-01-15,240.2416656
2010-01-18,242.5077945
2010-01-19,240.7426748
2010-01-20,240.3275481
2010-01-21,234.5376321
2010-01-22,231.2904604
2010-01-25,230.1221069
2010-01-26,230.1221069
2010-01-27,223.5332099
2010-01-28,224.9330932
2010-01-29,226.7141753
2010-02-01,229.3696566
2010-02-02,226.1015166
2010-02-03,230.5434496
2010-02-04,227.2946335
2010-02-05,223.26935
2010-02-08,225.0727811
2010-02-09,227.9968979
2010-02-10,226.8672687
2010-02-11,228.5255851
2010-02-12,228.5255851
2010-02-15,228.5591898
2010-02-16,229.638265
2010-02-17,231.5731906
2010-02-18,232.3136975
2010-02-19,231.397019
2010-02-22,231.0664405
2010-02-23,231.0734134
2010-02-24,230.3681181
2010-02-25,231.392599
2010-02-26,234.3624434
2010-03-01,234.3624434
2010-03-02,239.0339691
2010-03-03,241.5874879
2010-03-04,241.5949543
2010-03-05,242.356299
2010-03-08,244.6323683
2010-03-09,244.0613027
2010-03-10,244.7139524
2010-03-11,246.0564919
2010-03-12,245.5152717
2010-03-15,244.7354308
2010-03-16,245.8258941
2010-03-17,247.5744575
2010-03-18,247.7286942
2010-03-19,247.4606063
2010-03-22,246.6482293
2010-03-23,247.1165667
2010-03-24,247.1165667
2010-03-25,247.9337582
2010-03-26,249.9264371
2010-03-29,250.2879748
2010-03-30,248.4088956
2010-03-31,248.4739355
2010-04-01,250.4963365
2010-04-02,250.4963365
2010-04-05,252.2314177
2010-04-06,252.559032
2010-04-07,252.7930074
2010-04-08,250.7427343
2010-04-09,254.0039348
2010-04-12,253.4256161
2010-04-13,253.5122499
2010-04-14,253.5122499
2010-04-15,252.3001798
2010-04-16,251.7094953
2010-04-19,250.2368146
2010-04-20,251.6120335
2010-04-21,253.165567
2010-04-22,253.4670864
2010-04-23,254.204075
2010-04-26,256.6555989
2010-04-27,256.6545552
2010-04-28,254.3967567
2010-04-29,255.2861211
2010-04-30,257.6352454
2010-05-03,256.7138509
2010-05-04,254.6247843
2010-05-05,254.9102578
2010-05-06,253.1853783
2010-05-07,248.5617772
2010-05-10,254.8834918
2010-05-11,252.8220439
2010-05-12,254.2947783
2010-05-13,257.7243068
2010-05-14,256.3338269
2010-05-17,255.7625757
2010-05-18,256.3704374
2010-05-19,250.0549605
2010-05-20,251.2905044
2010-05-21,249.1736275
2010-05-24,248.9507044
2010-05-25,243.0289099
2010-05-26,247.5865254
2010-05-27,251.5735627
2010-05-28,254.3685848
2010-05-31,256.8212051
2010-06-01,252.8661835
2010-06-02,255.0102755
2010-06-03,258.9630089
2010-06-04,260.0225108
2010-06-07,256.9741199
2010-06-08,256.0790979
2010-06-09,256.9634144
2010-06-10,260.7984462
2010-06-11,261.7981106
2010-06-14,264.8342244
2010-06-15,265.619344
2010-06-16,266.3552176
2010-06-17,268.7165601
2010-06-18,268.3402941
2010-06-21,272.4652022
2010-06-22,271.0828686
2010-06-23,271.8126295
2010-06-24,272.4792413
2010-06-25,268.5400502
2010-06-28,270.9355116
2010-06-29,269.0393467
2010-06-30,269.9628467
2010-07-01,267.9834916
2010-07-02,267.5061679
2010-07-05,268.3521616
2010-07-06,270.5998252
2010-07-07,269.0750428
2010-07-08,271.1684806
2010-07-09,273.3297017
2010-07-12,274.961491
2010-07-13,275.6398899
2010-07-14,275.9386848
2010-07-15,276.1286979
2010-07-16,277.3529948
2010-07-19,277.503775
2010-07-20,276.5523069
2010-07-21,277.6364577
2010-07-22,280.104857
2010-07-23,279.6975496
2010-07-26,278.5735643
2010-07-27,279.188239
2010-07-28,279.232689
2010-07-29,279.8328639
2010-07-30,279.9879089
2010-08-02,280.9901551
2010-08-03,280.5753152
2010-08-04,281.915398
2010-08-05,281.9683176
2010-08-06,281.8673938
2010-08-09,283.7015304
2010-08-10,281.8365385
2010-08-11,279.7887233
2010-08-12,279.6743153
2010-08-13,281.7258823
2010-08-16,281.3005534
2010-08-17,281.8282017
2010-08-18,285.6518507
2010-08-19,289.0585166
2010-08-20,289.0842384
2010-08-23,289.5305809
2010-08-24,288.7823208
2010-08-25,286.7940226
2010-08-26,288.0893767
2010-08-27,284.528245
2010-08-30,284.373928
2010-08-31,283.8760815
2010-09-01,286.2066327
2010-09-02,289.0418206
2010-09-03,289.8683235
2010-09-06,292.3073246
2010-09-07,293.7214808
2010-09-08,293.2777009
2010-09-09,294.7125209
2010-09-10,294.7125209
2010-09-13,298.2576745
2010-09-14,299.901545
2010-09-15,302.6972173
2010-09-16,301.9319634
2010-09-17,305.3106845
2010-09-20,309.3910658
2010-09-21,310.4856902
2010-09-22,309.4715994
2010-09-23,309.234679
2010-09-24,312.8744927
2010-09-27,312.7890525
2010-09-28,312.9123216
2010-09-29,312.145185
2010-09-30,312.7473631
2010-10-01,318.432272
2010-10-04,318.6300438
2010-10-05,317.8518015
2010-10-06,319.4694951
2010-10-07,317.3899747
2010-10-08,315.9167178
2010-10-11,316.0770313
2010-10-12,313.6316239
2010-10-13,319.1226219
2010-10-14,318.4597127
2010-10-15,311.9516597
2010-10-18,311.8735427
2010-10-19,310.7243905
2010-10-20,309.0444031
2010-10-21,314.0716476
2010-10-22,312.3108793
2010-10-25,313.9910576
2010-10-26,313.1685624
2010-10-27,309.9604752
2010-10-28,311.2754944
2010-10-29,311.5972834
2010-11-01,315.2618177
2010-11-02,317.0405026
2010-11-03,319.1631611
2010-11-04,322.7860097
2010-11-05,323.7179577
2010-11-08,322.1379067
2010-11-09,325.3480135
2010-11-10,323.4537813
2010-11-11,319.7137791
2010-11-12,315.2683349
2010-11-15,317.5794893
2010-11-16,312.4275888
2010-11-17,312.4275888
2010-11-18,313.0922792
2010-11-19,308.7383228
2010-11-22,314.435014
2010-11-23,312.9538432
2010-11-24,308.191797
2010-11-25,305.5293672
2010-11-26,301.3415204
2010-11-29,303.4515923
2010-11-30,307.8316415
2010-12-01,310.9845963
2010-12-02,312.8703122
2010-12-03,312.0259068
2010-12-06,310.9273129
2010-12-07,309.4738285
2010-12-08,304.0011961
2010-12-09,298.5319243
2010-12-10,303.448974
2010-12-13,305.4575019
2010-12-14,306.5239411
2010-12-15,303.5743465
2010-12-16,305.4943523
2010-12-17,305.4943523
2010-12-20,308.3531609
2010-12-21,310.3974059
2010-12-22,310.3681462
2010-12-23,310.0411049
2010-12-24,310.3798937
2010-12-27,309.8035981
2010-12-28,310.5214186
2010-12-29,314.0559588
2010-12-30,316.1040253
2010-12-31,319.0467701
2011-01-03,319.0500917
2011-01-04,317.8066372
2011-01-05,314.9375364
2011-01-06,311.5743663
2011-01-07,305.4999293
2011-01-10,299.4250054
2011-01-11,299.5674832
2011-01-12,302.7061714
2011-01-13,298.4320528
2011-01-14,292.5782631
2011-01-17,293.1547218
2011-01-18,297.1398774
2011-01-19,297.3953042
2011-01-20,298.4114631
2011-01-21,297.2371275
2011-01-24,298.6117756
2011-01-25,296.5262863
2011-01-26,296.5262863
2011-01-27,292.4185256
2011-01-28,286.166863
2011-01-31,285.0295185
2011-02-01,280.4545624
2011-02-02,279.3991169
2011-02-03,281.6009725
2011-02-04,277.278353
2011-02-07,277.3119934
2011-02-08,273.8608598
