coin,dt,avg_buy
TNSR,20240801,81257.76107425732
NTRN,20240322,204899.2707993708
YGG,20231223,411486.91772307554
DYM,20240330,211075.8898216176
PEOPLE,20241104,134431.59677092455
ADA,20240814,188220.55948482887
BTC,20241123,3195183.0017792294
HPOS,20230924,47293.80860222205
JUP,20241112,83196.990621766
BNT,20241116,26203.708104745372
FTM,20240209,625487.3376335783
FXS,20240330,131061.12666098005
MKR,20231224,832861.4351301937
GMX,20241012,82342.9019741656
FTT,20240314,78068.54471735645
UNI,20241111,169226.3946120708
HMSTR,20241208,169529.37180758727
PEOPLE,20240928,126062.63637831187
SUI,20240203,315067.34181920177
ETHFI,20240826,103832.41395396803
GAS,20240829,100241.50287541907
UNI,20240731,97270.45190467636
TRX,20231029,650359.4733993729
RUNE,20231107,725075.7345969006
kSHIB,20231202,871253.4573330514
STRAX,20241203,0.0
LINK,20230613,263654.2873290814
USTC,20241205,60279.7964931371
ATOM,20240430,125395.91474924076
BNB,20240210,551921.9407160694
NFTI,20240823,0.0
SEI,20231026,319735.03441505507
SNX,20231105,196681.42777630518
OMNI,20240903,124788.13841688096
POLYX,20240218,87985.7730959909
MATIC,20230505,37812.05835136111
kBONK,20240915,122093.84050011185
HPOS,20241119,8796.810188424448
TRB,20231017,175004.21691959852
CANTO,20240914,0.0
ADA,20240911,205975.11024350935
ONDO,20240313,117275.44430318735
TRX,20240229,132824.87777526528
W,20241106,102492.65610945628
FTM,20241128,287592.34932204743
NTRN,20240408,159308.47207129368
MNT,20240826,224024.14338032497
AAVE,20240822,244256.76469439914
RSR,20240823,118707.05365296196
FXS,20241025,114732.88038272617
kFLOKI,20240907,130947.65198655232
FTM,20240915,174391.02053343318
CRV,20230706,111050.65809066706
TNSR,20240817,110590.55630034217
XLM,20241203,210610.349620354
STRAX,20241206,0.0
SCR,20241011,40102.35648599756
WIF,20240102,158862.09034334228
RLB,20240424,48787.26070535852
SUPER,20241020,129867.59805813203
W,20240717,86872.4643882496
XRP,20241129,637234.7452155128
LDO,20241123,210055.29020624657
BTC,20230531,322619.88895644725
ZEN,20240806,65107.69789183789
INJ,20230826,501056.3117255071
BTC,20241019,3241949.101178958
kFLOKI,20240415,81037.67224920611
SAGA,20240828,123480.79334418802
DOGE,20240309,267035.80041870574
PYTH,20231219,346883.27053918556
MEME,20231120,401163.9598180116
ARK,20240817,56394.62714234086
SNX,20240423,174035.03172868118
BTC,20231207,2678818.693183079
BIGTIME,20241101,98742.03173650856
MERL,20240902,105495.37058502401
SAGA,20241009,118889.55028784377
RLB,20230828,42269.54893226711
YGG,20230905,819052.416821347
AAVE,20241125,236095.28655346736
DOT,20240323,357495.7600377253
ETC,20241129,103786.1266618894
FXS,20241203,74306.18200342813
APT,20231006,645184.0461896422
UMA,20241011,204518.50282170018
APE,20230421,44689.89039937143
MYRO,20240811,62733.93161764707
GRASS,20241123,98971.336930901
ATOM,20240427,142440.08429173863
OX,20240129,19104.6741254455
TRB,20231215,417124.0860539781
PEOPLE,20240807,113554.8286437194
DOGE,20231011,642534.7609374739
ENA,20240904,79389.94792661298
SUPER,20240928,137144.2072868328
kLUNC,20240220,262724.6832878895
kPEPE,20230920,629154.8289753444
AVAX,20241007,361076.2974474885
BNB,20240806,419946.22496729187
APT,20241006,149707.5871749651
BOME,20241207,175214.19534357623
STRK,20240415,76055.42101682369
DOGE,20231111,805790.4828974372
OX,20240121,24839.765005382746
SUSHI,20231227,668424.09306127
TRX,20240316,182285.8866030968
FTM,20231228,830116.4399243918
WIF,20241021,177468.27325217362
ONDO,20240905,94133.55644444963
COMP,20231011,648623.9402336369
AVAX,20230701,105989.61470473302
AAVE,20231129,860074.4059022748
SUI,20231208,881711.8418461756
USTC,20240227,127433.28772476308
INJ,20230706,124648.0499720746
JTO,20240122,227051.07549632955
ETHFI,20240902,168716.87156065728
ETC,20240223,217928.86447820702
FIL,20231225,822549.6699280693
BNT,20240118,115385.2034711245
CFX,20230703,89001.24533466091
BANANA,20240325,14868.957314231156
IO,20240801,223616.39084215424
ETH,20231019,3147311.946065868
kSHIB,20240213,595191.8629786662
PIXEL,20240903,157508.9293228134
SEI,20231006,647710.4464953571
MKR,20240924,180526.56041188366
RUNE,20241208,172061.5948815011
MNT,20240804,212650.8432301595
TRB,20231221,438363.9177273363
COMP,20240115,391766.22885929706
PEOPLE,20240811,147198.50532448073
SUI,20240820,83184.61518016
LDO,20240420,169637.83417496603
BTC,20240405,1312941.5295807759
ZRO,20231022,52475.37887951486
ENS,20241001,110667.63049198281
YGG,20240905,127616.01654893384
NTRN,20240804,102477.74347249324
MATIC,20230801,489581.0718166831
BANANA,20240108,25356.885880114267
ETHFI,20240814,109861.3186033001
BCH,20241016,331503.01275051327
BTC,20230719,495787.8852739882
REQ,20240830,18667.05544110158
ARB,20230829,500674.4015299451
CFX,20230628,110703.5869656252
ARB,20230514,42633.32596157203
SUI,20230708,175274.99606911687
W,20240416,93078.85172094133
SOL,20240417,738030.7365280398
PANDORA,20241109,0.0
BTC,20231120,2862888.4902607603
HPOS,20240715,12677.458834102888
FIL,20240206,783706.5791373894
BRETT,20241120,47412.49700768132
STX,20240831,134412.85945539584
kPEPE,20240324,267418.4317819055
TRX,20240405,200204.11019324462
DYDX,20230611,285754.5781709223
NEO,20231216,828112.418909178
ARB,20231113,680789.7785919319
REZ,20241123,136632.38313904734
ORDI,20231126,818887.5517750339
STG,20240919,144313.29207600362
XRP,20240108,1542238.69958911
MANTA,20240407,265848.1952999303
PYTH,20241111,66111.11094230288
DOT,20241202,212529.5816871193
MAVIA,20240910,105052.35309930838
MANTA,20240227,234927.85846313703
YGG,20240815,112025.65614739756
WIF,20241029,204201.31633516247
SUPER,20240311,148145.74840817708
SOL,20240725,832075.9132980555
LDO,20241027,327143.09064478474
LINK,20230529,344866.19420048676
ALT,20240314,134429.79627375302
SNX,20240823,168322.91631353047
TRX,20240206,502177.6184608816
XRP,20231025,1138137.6976572743
RENDER,20241015,135298.84153038176
PIXEL,20240812,106013.68261070397
LDO,20231106,835531.8713601908
BCH,20240715,323340.2436315956
LINK,20241110,313972.5800869461
kPEPE,20231109,724937.9217099354
SUPER,20241101,108071.5468107717
TNSR,20241208,65961.03691884823
GAS,20240808,83008.66878462893
PYTH,20231124,288908.40256781195
SUI,20230817,462631.0761571587
ZEN,20240414,56502.30220287952
GAS,20240425,74601.23380168587
IMX,20240912,196118.37187510278
ZEN,20240807,59612.639016106
INJ,20240822,262700.67762581835
AVAX,20231004,636642.2205893457
BCH,20240922,267645.6351984691
ORBS,20240204,172646.32109417053
TAO,20240812,58406.77031201334
OP,20241126,208720.10634472955
CRV,20230715,173788.9515262859
TAO,20240903,76241.70093049841
ORDI,20240802,103500.48530032967
ORDI,20240503,218957.77242582195
XRP,20230803,740001.849821363
BRETT,20240723,151542.8295180926
AVAX,20240327,296139.76201254193
GMX,20240917,78158.53580040926
FTM,20230921,651227.641365987
BADGER,20231117,257602.59805384168
HMSTR,20241207,177918.96542126534
SOL,20240827,1424631.6700865214
SNX,20241210,139735.35504288008
CRV,20241125,182802.93461589917
AAVE,20240213,314464.1194659872
JUP,20240303,212030.92378924563
TAO,20240920,136575.0685391605
ZRO,20231015,45188.68742123538
SOL,20240303,1790276.9760896114
AVAX,20240120,353999.2980050235
SOL,20241004,2014042.180018814
OX,20240418,13699.554509806268
UNIBOT,20240817,0.0
CYBER,20240303,101728.41094992997
ALT,20241016,170125.98283627693
LINK,20241113,313101.06186727586
HPOS,20231201,26417.714292689237
CAKE,20240811,165654.18119221306
kDOGS,20241022,238135.2899858591
RSR,20240921,134453.40382289875
GALA,20241207,234112.94269055428
STRK,20240314,191528.97675499826
BNB,20230701,127700.02526257515
UNI,20240104,825795.2344945854
AR,20241007,124174.84064336102
ORBS,20241102,87483.74928818991
FRIEND,20231011,47998.283011672465
BANANA,20240410,17189.35186260692
FTM,20240719,161895.55478027923
INJ,20240826,220486.2281768932
TRX,20240930,152269.75343622649
BANANA,20240502,15199.377520851951
CRV,20240726,159090.29873907025
TON,20231028,322358.481072633
LTC,20231011,643138.651680683
kSHIB,20240814,175839.82741337395
SEI,20240129,235120.1096247683
SUI,20240113,378365.3034702789
ZRO,20240416,19605.029031725968
MKR,20241023,231722.7674174019
SUI,20230524,170900.4231738054
WLD,20231229,814187.6990388185
LTC,20230721,186459.07108651032
WLD,20240813,224926.4194285263
XAI,20241110,138115.86521294402
DOT,20240921,278421.51244781987
MATIC,20240106,656872.4275577099
TNSR,20241005,176154.19642043413
HPOS,20241018,22032.302598637478
CRV,20240814,169741.24570194565
ALT,20240317,180034.47420882405
YGG,20230828,496680.9768406694
SOL,20241023,1765312.6646876968
LDO,20240930,253221.567581193
USTC,20240220,94574.26704848152
ETH,20241101,3001217.627153338
TRX,20240420,156190.29552803427
STX,20231122,442765.0134242112
RUNE,20240905,176877.974565103
ETH,20231018,3288810.671604665
SUSHI,20241116,62493.16483420619
