coin,dt,avg_sell
BOME,20241006,195502.78792407623
ZEN,20241030,70456.49474298676
LOOM,20240419,105945.48181643726
kPEPE,20240403,230786.28339172408
BTC,20240917,1432872.5153215346
PIXEL,20240727,120302.03551830507
PENDLE,20240129,69321.43939859074
LDO,20240212,454301.3678409452
JUP,20241022,117768.04565111072
STG,20241026,154927.85289049768
ZETA,20240723,90846.49761733453
STRAX,20240801,0.0
HPOS,20240426,13567.455685379204
MYRO,20240721,69270.36730596483
RSR,20240919,133357.253817035
POLYX,20240805,59553.489652074975
ATOM,20231101,631479.1316769294
CFX,20240405,164783.0329780824
kPEPE,20240415,93071.53000235916
BSV,20240924,63828.74619601394
POLYX,20240131,171576.08533594923
BANANA,20231026,43416.413986946514
ZRO,20240831,318100.69098649756
kLUNC,20240929,209766.96608606022
RLB,20241203,25965.05215321503
SUI,20230620,117630.33490974504
APT,20241208,292186.8042556687
RLB,20240225,14363.673007294119
kFLOKI,20241105,297926.94682214496
IMX,20240423,138872.79237413564
POLYX,20240728,102813.8568269997
SUSHI,20241027,161911.79381653358
FET,20231111,368207.6828040845
POPCAT,20240722,92094.81983200264
SUI,20240212,259659.0425388857
UNI,20240720,85329.23141646961
ADA,20240210,388655.07074982877
OX,20240429,12044.087093494689
ARB,20240914,150966.86643977326
NEO,20241207,121511.76978089148
GMT,20241209,110722.07954810317
ADA,20240925,192208.6029731359
ZEN,20240721,83970.18380566883
GMX,20240205,375436.9616999706
HBAR,20240717,96824.84986893283
ETH,20241108,2440844.9697340108
SUPER,20240328,168330.89220240427
HBAR,20241024,169782.8631276481
BNT,20241102,42640.29666094172
GMT,20240824,199352.00340055514
BLUR,20231118,337522.99201199197
kSHIB,20240414,105414.9949963671
MINA,20241104,174508.92811794736
UNI,20240425,90480.40680171852
BLZ,20240218,67900.94921836109
SOL,20230901,1699004.1309627683
GAS,20231209,287280.60151193896
UMA,20240812,185053.76238062198
TURBO,20240828,158839.76207163118
LDO,20240407,247370.26962794244
MKR,20241022,233748.12636810375
SUPER,20240228,75245.83845053382
WIF,20240204,149580.28680967263
JTO,20240929,164978.99264471664
LINK,20230830,511025.67398892494
POLYX,20241107,65495.7514303136
JUP,20241126,136289.09814246537
SUSHI,20240310,174782.61201919412
PYTH,20240812,90578.69263484214
HBAR,20240714,90268.09928267077
YGG,20241206,83420.67476468862
MANTA,20240805,126747.8372083484
REQ,20240905,25024.822643849304
FXS,20241103,116604.78991792412
UNIBOT,20240129,17824.223507509858
kBONK,20240203,434156.03842015215
SUI,20231228,781700.1116721327
RLB,20240830,10958.196620332315
SUSHI,20240929,133991.28576739802
kLUNC,20240827,179052.86869964818
OGN,20240905,58000.076164505655
CFX,20231123,790841.4627612252
STRAX,20241124,0.0
HPOS,20240226,14099.239742272255
MKR,20240730,155214.46803093347
GMX,20231023,298577.7317597555
FTT,20231209,266663.3324073617
ARB,20240127,357423.9689437068
AI,20240430,269056.6726385917
SNX,20240108,338506.4346879588
CRV,20240714,168406.2517256048
CATI,20241001,131703.1927303681
MANTA,20241023,186893.41191590036
WIF,20240405,131995.5402302733
ENA,20241106,161340.89149447417
PYTH,20240922,88368.9682789765
INJ,20240414,132277.65447887563
TAO,20240729,126129.41881153332
LDO,20240214,129771.5049734188
MNT,20241109,117544.07182099269
FRIEND,20231212,34241.98800771827
MNT,20240923,232424.79882916898
GAS,20231103,123396.34044940771
XAI,20240206,532148.1310580546
APT,20230711,179747.99736708816
CYBER,20230913,318132.976157717
DYDX,20230808,179349.72606392857
OP,20240113,447349.429900553
CRV,20231019,608322.1727293512
ETH,20231202,2995096.211397614
FTM,20231207,929443.1238675031
