"Index","NIFTY500 MOMENTUM 50 TR","M1","M3","M6","M9","M12"
2014-12-12,-0.012158842588153,-0.0155988563909164,-0.0184586921088286,NA,NA,NA
2014-12-15,-0.00271783999020645,-0.00331246889962086,-0.000566180103000003,NA,NA,NA
2014-12-16,-0.0339093486934138,-0.0409708144503124,-0.0403820908305881,NA,NA,NA
2014-12-17,-0.0124308551130252,-0.0305437541265517,-0.0286155965090253,NA,NA,NA
2014-12-18,0.0342444961606455,0.0416757101329798,0.0475391540534642,NA,NA,NA
2014-12-19,0.0119483654832604,0.0162003477397791,0.0203463763733878,NA,NA,NA
2014-12-22,0.00155111950433202,0.00560453434350355,0.00819925881950992,NA,NA,NA
2014-12-23,-0.00538862851337516,-0.00939370002048438,-0.0138486547937664,NA,NA,NA
2014-12-24,-0.00215949045926661,0.00100996684806466,-0.00415611514140923,NA,NA,NA
2014-12-26,0.0019242295780079,-0.00529407675854025,-0.00675645686179076,NA,NA,NA
