"date","return","n_pos","gross"
2017-07-31,-0.00320685985872641,14,0.00179314014127359
2017-08-31,-0.0339650172400533,16,-0.0289650172400533
2017-09-29,0.0312584273547992,15,0.0362584273547992
2017-10-31,-0.0302031597276544,15,-0.0252031597276544
2017-11-30,0.0151441690215914,17,0.0201441690215914
2017-12-29,-0.100625916007022,15,-0.0956259160070218
2018-01-31,0.0432088013099871,16,0.0482088013099871
2018-02-28,-0.0293768087399498,16,-0.0243768087399498
2018-03-28,0.0596689122263726,15,0.0646689122263726
2018-04-30,0.0351176868965499,14,0.0401176868965499
2018-05-31,-0.041785481137031,15,-0.036785481137031
2018-06-29,0.0375240480933611,14,0.0425240480933611
2018-07-31,-0.030725225175787,11,-0.025725225175787
2018-08-31,-0.00730916690260393,13,-0.00230916690260393
2018-09-28,0.148341813647006,12,0.153341813647006
2018-10-31,-0.0607654524510896,12,-0.0557654524510896
2018-11-30,0.0539242928907235,11,0.0589242928907234
2018-12-31,-0.0122893777600104,11,-0.00728937776001036
2019-01-31,0.0979098000574726,9,0.102909800057473
2019-02-28,-0.0391742611318887,9,-0.0341742611318887
2019-03-29,-0.0680093722575307,7,-0.0630093722575307
2019-04-30,0.0489528122847362,10,0.0539528122847362
2019-05-31,0.0363090034054859,11,0.0413090034054859
2019-06-28,0.0210199008790858,7,0.0260199008790858
2019-07-31,0.0443635776794941,5,0.0493635776794941
2019-08-30,-0.088483849132211,6,-0.083483849132211
2019-09-30,0.0806088268967948,3,0.0856088268967948
2019-10-31,-0.0302565227645649,4,-0.0252565227645649
2019-11-29,-0.0326677296246528,4,-0.0276677296246528
2019-12-31,0.0365106536015902,3,0.0415106536015902
2020-01-31,0.0968231189258703,3,0.10182311892587
2020-02-28,0.0927402448217683,2,0.0977402448217684
2020-03-31,0.10196251262009,3,0.10696251262009
2020-04-30,-0.117096699840914,5,-0.112096699840914
2020-05-29,-0.0718016683012345,4,-0.0668016683012345
2020-06-30,0.102900520547606,3,0.107900520547606
2020-07-31,0.0662118229456226,6,0.0712118229456226
2020-08-31,-0.0582391612648237,6,-0.0532391612648237
2020-09-30,-0.0104560250764829,7,-0.0054560250764829
2020-10-30,0.0393625130132782,9,0.0443625130132782
2020-11-27,-0.102657396258492,7,-0.0976573962584917
2020-12-31,-0.0445904511341756,9,-0.0395904511341756
2021-01-29,0.0949346036236837,7,0.0999346036236838
2021-02-26,0.0278876981065692,7,0.0328876981065692
2021-03-31,0.026900785083031,8,0.031900785083031
2021-04-30,-0.0153730813933189,9,-0.0103730813933189
2021-05-31,-0.025408215155817,10,-0.020408215155817
2021-06-30,-0.00773263539526629,8,-0.00273263539526629
