"","DISC_RATE","CHG","PRE_5","POST_5","PRE_10","POST_10","PRE_20","POST_20","PRE_50","POST_50","DATE_STAMP"
"2003-09-16",2,0,0.0283580894201139,0.0256872593588588,0.0217306606740419,0.0263356421610163,0.0233743840276938,0.0216241484250288,0.0201536097238392,0.0188484750278731,34
"2003-10-28",2,0,0.0206814936631544,0.0113139476867635,0.0213681269796317,0.0126431825016994,0.0196783193834465,0.0132060397373193,0.0221322956653233,0.0150285489971471,35
"2003-12-09",2,0,0.0194922811875446,0.0107377108942792,0.0154825382041931,0.0135912494493776,0.0152931187871774,0.015034064325399,0.016532820855504,0.0240345914911518,36
"2004-01-28",2,0,0.0431090807601301,0.0327099548460113,0.0358708108740937,0.0300297385508783,0.028095922684535,0.0239338323145311,0.0211809094104959,0.0210756286317357,37
"2004-03-16",2,0,0.0123970666771549,0.0186926843848183,0.0178385099083205,0.0239425151987629,0.0187378261565634,0.0180828963645395,0.0245942698141747,0.0384980009375587,38
"2004-05-04",2,0,0.0186962337317723,0.0259331318631976,0.0219912224957168,0.0742912601940638,0.0167151342656412,0.0583557099032364,0.0189194907471022,0.040183061560402,39
"2004-06-30",2.25,0.25,0.0157632018894987,0.0215172664670837,0.0173105243599354,0.021217196883418,0.0185203214433199,0.0193262524424342,0.040336431796477,0.0152451952920567,40
"2004-08-10",2.5,0.25,0.0176953035199845,0.0063329222644823,0.0156010647262655,0.0067281667193034,0.0156665896739858,0.0113008303598207,0.0189299518074128,0.011953044165316,41
"2004-09-21",2.75,0.25,0.0118877937105888,0.0186792559290778,0.0123603470300989,0.0156755568675892,0.0109430637273832,0.0126565553779053,0.0132202957263317,0.0151070954854369,42
"2004-11-10",3,0.25,0.0114999210034175,0.0168092742272742,0.0128260071655885,0.0138663445970078,0.0137129543211907,0.0158098697618885,0.0129165109433946,0.0187390817381006,43
"2004-12-14",3.25,0.25,0.01116684894452,0.0127470680310071,0.0176301960851783,0.0124370131887903,0.0154533048455446,0.0183250720667476,0.0143691374629205,0.0180261706668809,44
"2005-02-02",3.5,0.25,0.0194118506461509,0.0151800716333114,0.0203374468720976,0.0107339891188913,0.025169711287607,0.0140052491755305,0.0191832833229777,0.0159156729887125,45
"2005-03-22",3.75,0.25,0.0176945727874573,0.0235384330591678,0.0137979809042105,0.019562255937093,0.0177175284375306,0.0165155302621034,0.0183903389975535,0.0141270153228066,46
"2005-05-03",4,0.25,0.018564225199833,0.0123469523941325,0.0159788638984121,0.0123375808137033,0.0141017442217687,0.00959674735882212,0.0169342765273531,0.010884686656705,47
"2005-06-30",4.25,0.25,0.0100378228331819,0.011440124778798,0.0110848624700259,0.0117381080915707,0.01235649665969,0.0138453629283651,0.0123463793668004,0.0137746010557057,48
"2005-08-09",4.5,0.25,0.0159339866358139,0.0138262293057644,0.0176538442513192,0.0133076909414831,0.0167852996394087,0.0115688434076853,0.0138555702399251,0.0145071930870741,49
"2005-09-20",4.75,0.25,0.00496262936210254,0.0208207752416814,0.00515080427571941,0.0153919100796041,0.00991894818919599,0.016996636849947,0.0135443168706249,0.0168088017907335,50
"2005-11-01",5,0.25,0.0287396741016037,0.00587062951947379,0.0229757698287813,0.0103791969270208,0.0202546482838296,0.0125175790941625,0.0165158802347911,0.0138773451074852,51
"2005-12-13",5.25,0.25,0.00662271430635807,0.0209556683660291,0.0113524593098533,0.0210224068405394,0.0123816302380163,0.0168718761224213,0.0162581476427815,0.0151282200615907,52
"2006-01-31",5.5,0.25,0.0194170545418417,0.0214030049196509,0.0153909118510938,0.015387315416574,0.0133191361343446,0.0137956508558901,0.0141974303583311,0.0133788580442216,53
"2006-03-28",5.75,0.25,0.00956859054412984,0.0113213714473719,0.0075476495830654,0.0179343325781592,0.00854504939655999,0.0153349308691164,0.012210098856407,0.0239594025653009,54
"2006-05-10",6,0.25,0.0144132335576415,0.0263481044526816,0.0186125714773501,0.0305395982804284,0.018724715049334,0.0250926027643493,0.0147123242702631,0.025228938510509,55
"2006-06-29",6.25,0.25,0.0121710757797769,0.0160837010582589,0.0192784131241276,0.0139705412289557,0.0293546973418745,0.0228211712525279,0.0265422585375908,0.0168837812808708,56
"2006-08-08",6.25,0,0.0190777674371393,0.0132180497565802,0.0143848428414274,0.0128326900020546,0.0230265046760346,0.00981540263797332,0.0251292992175453,0.0135349275257348,57
"2006-09-20",6.25,0,0.00784498280033484,0.011674200773563,0.0188318004897723,0.01724470735918,0.013571905901719,0.0144228351070819,0.0176114106032554,0.0137960406547094,58
"2006-10-25",6.25,0,0.00802228687467987,0.0173024937523378,0.0109116314749453,0.0151947532329177,0.0146479450401323,0.01467336608118,0.0135773401445858,0.0183899062276229,59
"2006-12-12",6.25,0,0.0333126942566318,0.0217279563054239,0.0276113900732263,0.0175088127296454,0.0231418859371546,0.0157609798948015,0.0176191571165613,0.0194107605054304,60
"2007-01-31",6.25,0,0.016158514016654,0.0128830089483981,0.0119956203270484,0.0201546735648747,0.0202543475495584,0.0220357533875942,0.020164547305003,0.024803271168523,61
"2007-03-21",6.25,0,0.0239564764776611,0.0297582255309378,0.0264601079212396,0.0304022424108033,0.0268712413026671,0.0241704953766084,0.0232640278644148,0.0194739123740982,62
"2007-05-09",6.25,0,0.0139634960207418,0.0133660198097666,0.0211922878800233,0.0139093935826939,0.0168901498294708,0.0152809190113719,0.0242016186545115,0.0133591665901862,63
"2007-06-28",6.25,0,0.00432116160054515,0.0171911351305862,0.0113400944537327,0.0140137047935024,0.0135167355243906,0.0120424276528183,0.0149434421547304,0.019878002194059,64
"2007-08-07",6.25,0,0.023899261342723,0.0196706367124513,0.0214724537653174,0.0295882130034097,0.0165657190727963,0.0253592273756232,0.0147330289904222,0.02442354431537,65
"2007-08-17",5.75,-0.5,0.0267148462556078,0.0320665069699816,0.0231895794676048,0.026425911613501,0.0213870004356673,0.0192979856975415,0.0170231427900895,0.0249334553780154,66
"2007-09-18",5.25,-0.5,0.0126541560420113,0.0214137177118315,0.0107422747987523,0.0165507358314341,0.0143508558240327,0.0245368122250791,0.019501631058577,0.0271317256278572,67
