"","DISC_RATE","CHG","PRE_5","POST_5","PRE_10","POST_10","PRE_20","POST_20","PRE_50","POST_50","DATE_STAMP"
"2001-03-20",4.5,-0.5,0.0125145708024432,-0.0404873960415189,-0.127264689333655,-0.0933346841412084,-0.0689037148835455,-0.0174070014828188,0.0223052877372705,-0.0422004660287166,11
"2001-04-18",4,-0.5,0.0826456422370156,-0.00451484325559881,0.0868690394308649,-0.0370254928074204,-0.0350971528562575,0.0310466313413242,-0.05360686511129,-0.0409263929424879,12
"2001-05-15",3.5,-0.5,0.0119486153443411,-0.0219705088879855,0.0728545090498187,-0.0040282345984699,0.0821652102621528,-0.0406703869322593,-0.0893364968785233,-0.0688125947004697,13
"2001-06-27",3.25,-0.25,-0.0302711592152065,0.0105894184693656,-0.034976878722716,0.00226775255861655,-0.0429449010597043,-0.0119106308296031,-0.0177521669652803,-0.0649957602886944,14
"2001-08-21",3,-0.25,-0.00891315413867777,-0.00904366741862694,-0.0119112774024058,-0.0287624879149209,-0.0274727965445977,-0.158556235900741,-0.0643574618849292,-0.0555007251047371,15
"2001-09-17",2.5,-0.5,-0.166682570480401,-0.0079647819227443,-0.196228421827702,0.0719756730622421,-0.220834324688714,0.131800600539468,-0.233097526467287,0.227886915364649,16
"2001-10-02",2,-0.5,0.0805822752340644,0.00251623087605202,0.0719756730622421,0.0558081017886607,-0.13837642150045,0.0800921035452746,-0.189968465177095,0.0616120494225725,17
"2001-11-06",1.5,-0.5,0.0482485925211942,-0.0124343019550066,0.0594467138255119,-0.00147330804676971,0.140910553985909,0.00738743822032739,-0.035427039448487,0.0196650052767418,18
"2001-12-11",1.25,-0.25,-0.0192360307271388,-0.0518229222548872,-0.0443858875639539,-0.0840110727237613,-0.013171547762743,0.00230681745026939,0.175501658531663,0.212667110147852,19
"2002-01-30",1.25,0,-0.0112954356591054,0.0897667372265802,-0.0120454755143673,0.140663263188478,0.0555531215772183,0.198480886564563,0.0130238718425786,0.164300834267215,20
"2002-03-19",1.25,0,0.0190249812709833,-0.0182069015592948,-0.00521867889775729,-0.000934850877670423,-0.0109339653129372,0.0262575105737992,0.20690108445613,-0.013323894062335,21
"2002-05-07",1.25,0,0.0225034124027008,0.0141790237038639,0.000378972443289882,-0.0352761842912294,-0.00457900123902333,-0.0164880759100915,-0.0190669155835528,0.0422033409099105,22
"2002-06-26",1.25,0,-0.026991565135895,0.0435193779443441,-0.0611322119732319,0.0430465315843855,0.0696576593452909,-0.00454457890404758,0.0217224041369195,-0.0128281466173976,23
"2002-08-13",1.25,0,-0.00395707817903124,-0.00351646385110949,0.00534336037997218,0.00634395132426646,-0.03277454196128,0.0221367215461707,0.0249449743213495,-0.0290980672870431,24
"2002-09-24",1.25,0,-0.0177718342820442,0.00281253638830892,-0.00684090666476878,-0.00804349578567398,-0.0101430129358875,-0.0465591214854491,-0.053247061617001,0.0893920801125017,25
"2002-11-06",0.75,-0.5,0.0109394404266199,-0.0504742119049769,0.0263279873922313,-0.0211904976966849,-0.00976726713296716,0.0681419925932618,-0.00495231932123508,0.244404299521272,26
"2002-12-10",0.75,0,0.0268111613618907,0.0790812086560515,0.0449023540955706,0.0908652727454042,0.120910649079663,0.0676378685636405,0.0885242342554231,0.211223947079746,27
"2003-01-09",2.25,1.5,0.00353257137625307,0.0349200556531259,0.00166018079216523,0.086041861490622,0.0633761823914623,0.0860494643766776,0.212159472112655,0.0409947616115074,28
"2003-01-29",2.25,0,-0.0404559631561764,0.00708003040503868,0.0221924579682691,0.0119158793933472,0.0573390281987691,0.0401056937054327,0.269529813984266,0.0370145147862595,29
"2003-03-18",2.25,0,-0.0113545992754263,0.0198045612310258,-0.0402110274721741,0.00932505101964809,-0.0320459673989061,0.0639719354694555,0.0243846611630776,0.332663002189748,30
"2003-05-06",2.25,0,0.0265333026428674,0.0450020724191587,0.0239620948047339,0.102825964354391,0.0471673948001308,0.149010334916526,0.0033747852409387,0.340264046585265,31
"2003-06-25",2,-0.25,0.0427061437751488,0.0324845496800503,0.0260924553502833,0.0734473364397166,-0.0159380614737603,0.0905996394445376,0.212030883502736,0.21099982145017,32
"2003-08-12",2,0,0.0255255875428524,0.024834870514318,-0.00123693922907508,0.110898546055016,0.00701654769630111,0.091415280518748,0.174635277142063,0.217361754400096,33
"2003-09-16",2,0,0.00303038858616378,-0.0417952880023268,-0.024814486096751,0.0524212086808846,0.0702583285215774,0.160857204514961,0.130206096468205,0.0934705711256432,34
