"","DISC_RATE","CHG","PRE_5","POST_5","PRE_10","POST_10","PRE_20","POST_20","PRE_50","POST_50","DATE_STAMP"
"2002-11-06",0.75,-0.5,0.00689933940966695,0.00425904307804167,0.0108022703133761,0.0068084474834201,0.0084695828379567,0.00951486291612949,0.00838279440055656,0.00838780244693991,26
"2002-12-10",0.75,0,0.0160068940339082,0.00722995190608912,0.0139298050096545,0.00574279109835658,0.0104698968455962,0.00562885597235056,0.00937166542545376,0.00793436056983115,27
"2003-01-09",2.25,1.5,0.00586618532054738,0.009094169212633,0.00543622398895558,0.00761038938420217,0.00570877420797906,0.00942627969452086,0.00828301472374581,0.00969108721495434,28
"2003-01-29",2.25,0,0.00993103788005355,0.00801677832673313,0.00871208520741874,0.00834795456893702,0.00804353489280277,0.00862388561197799,0.00905604060681848,0.0119207269322263,29
"2003-03-18",2.25,0,0.00808412352924404,0.0162421752220699,0.00637711741281029,0.0140113469817202,0.00908335792616089,0.0156820295145707,0.00849242215315289,0.0118070976326495,30
"2003-05-06",2.25,0,0.00234749677667305,0.0064865495318079,0.00611500296494351,0.00773007110474535,0.013062968894408,0.00792538329308782,0.0115117697001435,0.00865855523608105,31
"2003-06-25",2,-0.25,0.0117377215091771,0.00485606185188935,0.0114699509139692,0.00543224671095436,0.00975956213756759,0.00997344602421764,0.00893058879965908,0.0126114658750454,32
"2003-08-12",2,0,0.0142374861279428,0.0114288501129793,0.0122207113426228,0.0180565997639111,0.0128986294655062,0.0148733688223161,0.010721122109918,0.0165757579583984,33
"2003-09-16",2,0,0.0205893100278808,0.0207616130427701,0.0182248970912203,0.0198495745928195,0.0177938773079388,0.0160066692495108,0.0145421211329195,0.015320647884431,34
"2003-10-28",2,0,0.019512261049668,0.00893799252498732,0.0168372196218066,0.0129872653275667,0.0153855709823956,0.0134140534913803,0.0169566802608803,0.0117725538673631,35
