"","DISC_RATE","CHG","PRE_5","POST_5","PRE_10","POST_10","PRE_20","POST_20","PRE_50","POST_50","DATE_STAMP"
"2019-07-31",2.75,-0.25,0.0137776950288586,0.229752066115702,0.177551903114187,0.222956841138659,-0.0447368421052631,0.196143250688705,-0.425026399155227,0.166391184573003,11
"2019-09-18",2.75,0,-0.00130102455683867,0.0532486565705914,-0.14968152866242,0.153069532649406,-0.083296014330497,0.0374531835205996,0.121029572836802,-0.13222602182055,12
"2019-10-30",2.75,0,-0.0090719809637122,-0.0529791385261894,-0.0443201376936317,-0.0604832657961879,0.0192748967416245,-0.160288158487168,0.0512780056800253,-0.154885186852769,13
"2020-03-03",2.75,0,0.452433791981062,0.285728837730468,0.70256677072494,1.60588774574717,0.555045144939015,1.44687786492819,0.991277890466532,0.459101558520933,14
"2020-03-15",0.25,-2.5,1.21410904398322,0.30360872310457,1.89741063889671,0.367429209772208,2.7784914663241,-0.104473262421681,3.43824100021556,-0.402739326825004,15
"2020-03-19",0.25,0,0.753962951715761,-0.00921084525087446,1.98028895768834,-0.234010872952665,3.97570640937285,-0.406870043976592,3.94164955509925,-0.602756328127705,16
"2020-03-23",0.25,0,0.222675159235669,-0.00131971938598308,1.80725358291898,-0.274258526081823,4.2543795620438,-0.456588178092658,4.14270405429541,-0.580398694172397,17
"2020-03-31",0.25,0,-0.229644469694704,-0.227652059154602,0.023559793404847,-0.32531149322672,1.55559964289257,-0.322943756550091,3.55901610334454,-0.482125528859217,18
"2020-04-29",0.25,0,-0.209819604180046,0.180051717768748,-0.319644113803157,0.128407831547839,-0.526963268444413,-0.106908016254156,1.43786023054755,-0.262874030291836,19
"2020-06-10",0.25,0,-0.0201381376383458,0.13307855626327,-0.058677752018547,0.004755838641189,-0.229485669414998,-0.113375796178344,-0.647908381425111,-0.322038216560509,20
"2020-07-29",0.25,0,-0.0310427968655819,-0.0226023846552617,-0.0828261696462534,-0.135510627268015,-0.142437983462257,-0.199481596682219,-0.388822001140612,-0.154795230689476,21
"2020-08-27",0.25,0,-0.0835455317085,0.085075416776925,-0.0813176127385437,0.125297697803652,-0.235870993832777,0.244244509129399,-0.39930058814179,0.0848107965070124,22
"2020-09-16",0.25,0,-0.115609536662168,0.0676500508646998,-0.068467187870173,-0.00661241098677501,-0.014906676687962,0.121948118006104,-0.246743295019157,0.0184384537131232,23
"2020-11-05",0.25,0,-0.127276511603705,-0.0164559980920581,-0.0737795449525072,-0.0665394705461482,0.0287046123650636,-0.140114476508466,0.0861287398005439,0.163606010016694,24
"2022-03-16",0.5,0.25,-0.121951219512195,-0.00787728026534007,-0.174820390010263,-0.147595356550581,0.170305676855895,-0.198175787728027,0.466261398176292,-0.150912106135987,25
"2022-05-04",1,0.5,0.140177175612298,0.0420475319926874,0.106167846309403,0.0191956124314441,0.186550976138828,-0.0470749542961612,0.0626517727051965,-0.153564899451554,26
"2022-06-15",1.75,0.75,0.116431451612903,-0.0383747178329571,0.0623501199040766,-0.0112866817155757,-0.00672645739910338,-0.163882618510158,0.201193058568329,-0.177426636568849,27
"2022-07-27",2.5,0.75,0.0778834720570749,0.0176503033645889,-0.0210583153347731,0.0126861555432982,-0.172146118721461,0.00496414782129029,-0.186995515695068,0.130170987313844,28
"2022-09-21",3.25,0.75,0.0574398249452952,0.143300569063632,-0.00206504904491511,-0.000517330574236641,0.0146981627296585,-0.108639420589757,0.0505434782608689,-0.27366787377134,29
"2022-11-02",4,0.75,-0.0130331753554502,-0.0654261704681872,-0.0955483170466886,-0.106842737094838,-0.165748622934402,-0.198079231692677,-0.0397694524495682,-0.0828331332533012,30
"2022-12-14",4.5,0.5,-0.0845170454545452,0.207137315748642,-0.0666183924692252,0.194724592707525,-0.14635761589404,0.197827773467804,-0.394835680751174,0.169899146625291,31
"2023-02-01",4.75,0.25,0.228404099560761,-0.189809296781883,0.150102810143934,-0.233611442193087,0.166087560806115,-0.225268176400476,0.21242774566474,-0.275923718712753,32
"2023-03-22",5,0.25,-0.0914110429447852,-0.0796758946657663,0.189558232931727,-0.171505739365294,0.0571020699500357,-0.222147197839297,0.010921501706485,-0.239702903443619,33
"2023-05-03",5.25,0.25,0.0277777777777779,0.10472972972973,-0.0198675496688742,0.107263513513514,-0.131327953044754,-0.0202702702702698,-0.119702602230483,-0.0109797297297292,34
"2023-06-14",5.25,0,-0.0244755244755245,0.0116487455197132,-0.067669172932331,-0.0241935483870968,-0.160270880361174,0.0143369175627241,-0.26092715231788,0.0573476702508968,35
"2023-07-26",5.5,0.25,-0.0982758620689655,0.0783938814531551,-0.0499545867393281,0.0650095602294458,-0.0693950177935944,0.118546845124283,-0.208774583963691,0.0506692160611855,36
"2023-09-20",5.5,0,-0.0236842105263159,0.0413297394429468,0.0155109489051093,-0.0170709793351307,-0.083196046128501,-0.0278526504941603,-0.0487179487179484,0.234501347708894,37
"2023-11-01",5.5,0,0.0654288240495136,-0.0838174273858922,0.126168224299065,-0.0331950207468878,0.0524017467248905,0.0273858921161827,0.00416666666666621,0.251452282157677,38
"2023-12-13",5.5,0,-0.121542940320233,0.140016570008285,-0.0503540519276161,0.2013256006628,0.0786416443252906,0.142502071251035,0.0414150129421913,0.191383595691798,39
"2024-01-31",5.5,0,0.0808080808080807,-0.0137071651090342,0.163886874546773,-0.0517133956386292,0.106896551724138,-0.10404984423676,0.434316353887399,-0.331464174454829,40
"2024-03-20",5.5,0,-0.0124633431085044,-0.0475129918337045,-0.116141732283465,-0.158129175946548,-0.115561391989494,-0.236822568671121,-0.110303830911493,0.0965107646622119,41
"2024-05-01",5.5,0,0.261764705882352,0.327117327117327,0.116218560277537,0.538461538461539,0.0133858267716531,0.627039627039627,-0.184927169094364,0.104895104895105,42
"2024-06-12",5.5,0,-0.238221281101112,-0.0722724113968034,-0.404880066170389,-0.0166782487838776,-0.301456310679612,-0.0271021542738012,0.150279776179056,-0.0410006949270322,43
"2024-07-31",5.5,0,0.126700680272109,0.220377358490566,-0.0682137834036565,0.165283018867924,-0.0285923753665686,0.040754716981132,-0.330808080808081,0.00905660377358486,44
"2024-09-18",5,-0.5,-0.0190755685986793,NA,-0.0702364394993046,NA,0.00300075018754686,NA,-0.016911764705882,NA,45
