"date","NIFTY500_MOM50_TR","Q1_LIQC"
2020-09-30,0.0356876069817171,0.017851832549167
2020-10-30,0.00751866529008249,-0.0194103499167779
2020-11-27,0.0616858067443056,0.110979548342767
2020-12-31,0.0639684819247535,0.0741786378438394
2021-01-29,-0.00674540238078303,-0.00244243486265816
2021-02-26,0.104316709718192,0.0936134285834866
2021-03-31,0.0546336359644901,-0.04916780159193
2021-04-30,0.0873420280868915,0.0569262942822748
2021-05-31,0.0505419752806566,0.041402422849725
2021-06-30,0.0451495663460977,0.0781087157330669
2021-07-30,0.0354546076247937,0.086337424917146
2021-08-31,0.0692332878802184,-0.0682863017632506
2021-09-30,0.0438258074497695,0.0357476445663929
2021-10-29,0.0520782828092516,-0.0430007210643389
2021-11-30,-0.00382847782587015,-0.0482731087012542
2021-12-31,0.0573066978596386,0.0710819515775827
2022-01-31,-0.055474486386299,0.0252350683236344
2022-02-28,-0.055672085416314,-0.141979151980686
2022-03-31,0.0732647346637918,0.0709082212254668
2022-04-29,-0.0559931079252282,-0.00203641900348095
2022-05-31,-0.0632119828873235,-0.117207097052267
2022-06-30,-0.0767327572303972,-0.0185070482790282
2022-07-29,0.102089264011979,0.122606321388746
2022-08-30,0.0929281279389129,0.0291405126134003
2022-09-30,-0.0136730978548798,-0.0216804254920331
2022-10-31,0.0222195094823823,0.0402750546706141
2022-11-30,0.00814549476702253,0.00294501313390305
2022-12-30,-0.0343340409043433,0.0153462761331988
2023-01-31,-0.0380326456734124,-0.0521101248235843
2023-02-28,-0.042417336788933,-0.07143596141491
2023-03-31,0.0174090905459137,0.014499867730172
2023-04-28,0.0694523339787483,0.0247169928865487
2023-05-31,0.0658677472195883,0.0597045243566314
2023-06-30,0.055005892978208,0.0744253923497105
2023-07-31,0.0593163666125469,0.0828352150521623
2023-08-31,0.0232720190780829,0.0601333785639921
2023-09-29,0.0364103989804154,0.00364384472184742
2023-10-31,-0.0401600944153175,0.0453576579798687
2023-11-30,0.109249571469197,0.116069141740282
2023-12-29,0.0863304564132674,0.0275066270249287
2024-01-31,0.10534079089093,0.0716132525850754
2024-02-29,-0.00925530336376357,0.0118380155167683
2024-03-28,-0.00504148116368497,-0.0563884698022291
2024-04-30,0.101550801505714,0.0865159700546969
2024-05-31,0.0338854714489836,-0.0497840041963987
2024-06-28,0.0578817371978599,0.122862791061985
2024-07-31,0.0505469791583972,0.0723495866133399
2024-08-30,-0.0100971288708387,0.0590809967573493
2024-09-30,0.0122662329722125,0.0296748330845964
2024-10-31,-0.0736256643216245,-0.0528204503709298
2024-11-29,0.00121765836226029,0.00481011487483141
2024-12-31,-0.0336799147063545,-0.0243319824486217
