IndexName,URL,FactsheetURL,BaseDate,LaunchDate,FundName,SchemeCode,FundStartDate,MatchScore,TotalAUM_Cr,IndexSchemeCount,AUM_Period
Nifty MidSmall IT & Telecom,https://www.niftyindices.com/indices/equity/sectoral-indices/nifty-midsmall--it-telecom,https://www.niftyindices.com/Factsheet/Factsheet_NiftyMidSmallITAndTelecom.pdf,2005-04-01,2022-08-03,NO MATCH,,,0,0.00,0,
NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-india-corporate-group-index---aditya-birla-group,https://www.niftyindices.com/Factsheet/ind_NIFTY_ADITYA_BIRLA_GROUP.pdf,2005-04-01,2015-12-16,NO MATCH,,,0,0.00,0,
Nifty Capital Markets,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-capital-markets,https://www.niftyindices.com/Factsheet/Factsheet_NiftyCapitalMarkets.pdf,2019-04-01,2024-09-09,Tata Nifty Capital Markets Index Fund - Direct Plan Growth Option,152951,2024-10-30,121,48697.83,4,2026-03-31
NIFTY COMMODITIES,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-commodities,https://www.niftyindices.com/Factsheet/ind_nifty_commodities.pdf,2004-01-01,2011-09-07,Kotak Nifty Commodities Index Fund-Direct Growth,153353,2025-03-18,117,25163.05,4,2026-03-31
NIFTY CONGLOMERATE 50,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-conglomerate-50,https://www.niftyindices.com/Factsheet/Factsheet_NiftyConglomerate50.pdf,2005-04-01,2025-09-01,NO MATCH,,,0,0.00,0,
Nifty Core Housing,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-core--housing,https://www.niftyindices.com/Factsheet/Nifty_Core_Housing_Factsheet.pdf,2005-04-01,2023-05-16,NO MATCH,,,0,0.00,0,
NIFTY CPSE,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-cpse,https://www.niftyindices.com/Factsheet/ind_Nifty_CPSE.pdf,2009-01-01,2014-03-18,Nippon India Nifty AAA CPSE Bond Plus SDL - Apr 2027 Maturity 60:40 Index Fund - Direct Plan - Growth Option,150012,2022-03-29,104,304123.41,4,2026-03-31
NIFTY ENERGY,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-energy,https://www.niftyindices.com/Factsheet/ind_nifty_energy.pdf,2001-01-01,2005-07-01,NO MATCH,,,0,0.00,0,
Nifty EV & New Age Automotive,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-ev-new--age-automotive,https://www.niftyindices.com/Factsheet/Factsheet_NiftyEVNewAgeAutomotive.pdf,2018-04-02,2024-05-30,NO MATCH,,,0,0.00,0,
Nifty Housing,https://www.niftyindices.com/indices/equity/thematic-indices/nifty--housing,https://www.niftyindices.com/Factsheet/Factsheet_NiftyHousing.pdf,2005-04-01,2022-02-15,NO MATCH,,,0,0.00,0,
NIFTY100 ESG,https://www.niftyindices.com/indices/equity/thematic-indices/nifty100-esg,https://www.niftyindices.com/Factsheet/Factsheet_NIFTY100_ESG_Index.pdf,2011-04-01,2018-03-27,NO MATCH,,,0,0.00,0,
NIFTY100 Enhanced ESG,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-100-enhanced-esg,https://www.niftyindices.com/Factsheet/Factsheet_NIFTY100_Enhanced_ESG_Index.pdf,2011-04-01,2018-03-27,NO MATCH,,,0,0.00,0,
Nifty100 ESG Sector Leaders,https://www.niftyindices.com/indices/equity/thematic-indices/nifty100-esg-sector-leaders-index,https://www.niftyindices.com/Factsheet/Factsheet_Nifty100_ESG_Sector_Leaders.pdf,2014-01-01,2020-06-15,NO MATCH,,,0,0.00,0,
NIFTY INDIA CONSUMPTION,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-india-consumption,https://www.niftyindices.com/Factsheet/ind_Nifty_India_Consumption.pdf,2006-01-02,2011-07-12,SBI Nifty India Consumption Index Fund- Direct Plan- Growth,153015,2024-11-06,117,34903.55,6,2026-03-31
Nifty India Defence,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-india-defence,https://www.niftyindices.com/Factsheet/Factsheet_NiftyIndiaDefence.pdf,2018-04-02,2022-01-19,Motilal Oswal Nifty India Defence Index Fund Direct Plan Growth,152712,2024-07-09,113,481709.92,6,2026-03-31
Nifty India Digital,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-india-digital,https://www.niftyindices.com/Factsheet/Factsheet_NiftyIndiaDigital.pdf,2005-04-01,2021-12-14,HDFC Nifty India Digital Index Fund - Growth Option - Direct,153097,2024-12-11,119,15134.37,2,2026-03-31
NIFTY INDIA INFRASTRUCTURE & LOGISTICS,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-india-infrastructure-logistics,https://www.niftyindices.com/Factsheet/Factsheet_Nifty_India_Infrastructure_and_Logistics.pdf,2005-04-01,2025-06-03,NO MATCH,,,0,0.00,0,
Nifty India Internet,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-india-internet,https://www.niftyindices.com/Factsheet/Factsheet_Nifty_India_Internet.pdf,2021-10-01,2025-02-28,NO MATCH,,,0,0.00,0,
Nifty India Manufacturing,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-india-manufacturing,https://www.niftyindices.com/Factsheet/Factsheet_Nifty_India_Manufacturing_Index.pdf,2005-04-01,2021-08-16,Navi Nifty India Manufacturing Index Fund- Direct Plan- Growth,150515,2022-08-29,125,25564.67,12,2026-03-31
NIFTY INDIA NEW AGE CONSUMPTION,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-india-new--age-consumption,https://www.niftyindices.com/Factsheet/Factsheet_NiftyIndiaNewAgeConsumption.pdf,2005-04-01,2024-10-25,NO MATCH,,,0,0.00,0,
Nifty India Railways PSU,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-india-railways-psu,https://www.niftyindices.com/Factsheet/Factsheet_NiftyIndiaRailwaysPSU.pdf,2021-04-01,2024-11-25,Groww Nifty India Railways PSU Index Fund - Direct Plan - Growth,153230,2025-02-07,118,4753.01,4,2026-03-31
NIFTY INDIA TOURISM,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-india-tourism,https://www.niftyindices.com/Factsheet/Factsheet_NiftyIndiaTourism.pdf,2005-04-01,2024-06-18,Tata Nifty India Tourism Index Fund - Direct - Growth,152742,2024-07-29,113,28609.58,8,2026-03-31
NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR),https://www.niftyindices.com/indices/equity/thematic-indices/nifty-india-select--5-corporate-groups-(maatr),https://www.niftyindices.com/Factsheet/Factsheet_NiftyIndiaSelect5CorporateGroupsMAATR.pdf,2005-04-01,2024-11-12,NO MATCH,,,0,0.00,0,
