"INDEX","YEARS","L_MA","SMA_50","SMA_100","SMA_200","SMA_500"
"NIFTY MIDCAP 100","2004/2008","3","-2.34","6.9","-3.19","14.4"
"NIFTY MIDCAP 100","2005/2009","3","-1.23","10.3","-7.42","-12.48"
"NIFTY MIDCAP 100","2006/2010","3","0.1","13.28","-4.44","-6.38"
"NIFTY MIDCAP 100","2007/2011","3","0.33","16.44","11.15","0.21"
"NIFTY MIDCAP 100","2008/2012","3","-0.17","8.14","3.27","-6.54"
"NIFTY MIDCAP 100","2009/2013","3","-1.8","-5.78","-0.21","-6.55"
"NIFTY MIDCAP 100","2010/2014","3","-0.12","-3.25","2.29","-1.99"
"NIFTY MIDCAP 100","2011/2015","3","-2.01","-3.55","-2.02","-4.37"
"NIFTY MIDCAP 100","2012/2016","3","-2.03","-3.98","-3.75","-0.84"
"NIFTY MIDCAP 100","2013/2017","3","-2.86","-5.31","-6.29","-5.57"
"NIFTY MIDCAP 100","2014/2018","3","-3.47","-6.06","-5.04","4.98"
"NIFTY MIDCAP 100","2003/2007","5","-11.9","-11.15","-17.08","-67.94"
"NIFTY MIDCAP 100","2004/2008","5","-2.66","6.47","9.86","14.4"
"NIFTY MIDCAP 100","2005/2009","5","-2.68","9.89","1.82","-13.08"
"NIFTY MIDCAP 100","2006/2010","5","-1.67","13.58","7.01","-6.89"
"NIFTY MIDCAP 100","2007/2011","5","-1.76","17.17","22.89","-0.27"
"NIFTY MIDCAP 100","2008/2012","5","-2.32","8.91","4.44","-6.12"
"NIFTY MIDCAP 100","2009/2013","5","-4.01","-5.04","-0.62","-6.08"
"NIFTY MIDCAP 100","2010/2014","5","-0.2","-2.34","2.13","-1.38"
"NIFTY MIDCAP 100","2011/2015","5","-2.08","-3.8","-2.51","-3.65"
"NIFTY MIDCAP 100","2012/2016","5","-2.18","-3.99","-4.06","-1.09"
"NIFTY MIDCAP 100","2013/2017","5","-2.88","-5.19","-6.78","-5.96"
"NIFTY MIDCAP 100","2014/2018","5","-3.62","-5.78","-6.25","4.6"
"NIFTY MIDCAP 100","2003/2007","10","-10.99","-12.14","-18.2","-67.94"
"NIFTY MIDCAP 100","2004/2008","10","-2.48","9.39","9.1","14.4"
"NIFTY MIDCAP 100","2005/2009","10","-2.04","13.04","1.69","-14.17"
"NIFTY MIDCAP 100","2006/2010","10","-1.24","16.7","6.93","-7.85"
"NIFTY MIDCAP 100","2007/2011","10","-1.4","20.8","22.89","9.45"
"NIFTY MIDCAP 100","2008/2012","10","-1.78","7.44","3.64","-4.68"
"NIFTY MIDCAP 100","2009/2013","10","-3.65","-5.51","-1.39","-4.05"
"NIFTY MIDCAP 100","2010/2014","10","-0.44","-2.21","-0.51","0.53"
"NIFTY MIDCAP 100","2011/2015","10","-2.18","-3.55","-4.9","-3.2"
"NIFTY MIDCAP 100","2012/2016","10","-2.07","-3.89","-6.32","-1.15"
"NIFTY MIDCAP 100","2013/2017","10","-4.02","-5.47","-9.65","-5.49"
"NIFTY MIDCAP 100","2014/2018","10","-4.31","-4.92","-7.76","4.86"
"NIFTY SMLCAP 100","2005/2009","3","-0.88","36.4","-4.94","-15.22"
"NIFTY SMLCAP 100","2006/2010","3","-0.67","31","-5.25","-13.54"
"NIFTY SMLCAP 100","2007/2011","3","3.03","36.71","2.71","-3.94"
"NIFTY SMLCAP 100","2008/2012","3","1.83","14.78","-0.73","-8.22"
"NIFTY SMLCAP 100","2009/2013","3","-0.98","-1.71","-6.94","-7.17"
"NIFTY SMLCAP 100","2010/2014","3","0.19","1.71","-4.08","-0.53"
"NIFTY SMLCAP 100","2011/2015","3","-1.93","0.44","-4.3","-3.68"
"NIFTY SMLCAP 100","2012/2016","3","-2.04","0.52","-5.9","-0.83"
"NIFTY SMLCAP 100","2013/2017","3","-3.68","-2.12","-8.05","-5.23"
"NIFTY SMLCAP 100","2014/2018","3","-3","1.26","-3.76","1.56"
"NIFTY SMLCAP 100","2005/2009","5","0.21","33.65","-8.12","-5.11"
"NIFTY SMLCAP 100","2006/2010","5","0.11","28.56","-7.93","-5.04"
"NIFTY SMLCAP 100","2007/2011","5","1.88","34.26","-0.11","1.72"
"NIFTY SMLCAP 100","2008/2012","5","1.05","13.3","-3.3","-6.36"
"NIFTY SMLCAP 100","2009/2013","5","-1.51","-2.39","-6.56","-6.24"
"NIFTY SMLCAP 100","2010/2014","5","-0.17","-1.65","-2.82","0.38"
"NIFTY SMLCAP 100","2011/2015","5","-2.16","-2.98","-2.9","-3.32"
"NIFTY SMLCAP 100","2012/2016","5","-2.19","-3.18","-4.19","-0.7"
"NIFTY SMLCAP 100","2013/2017","5","-4.26","-6.28","-7.56","-5.13"
"NIFTY SMLCAP 100","2014/2018","5","-3.58","-0.76","-3.07","1.95"
"NIFTY SMLCAP 100","2005/2009","10","-0.66","31.07","14.84","-4.58"
"NIFTY SMLCAP 100","2006/2010","10","-0.52","26.23","11.48","-4.58"
"NIFTY SMLCAP 100","2007/2011","10","0.93","31.84","14.7","1.29"
"NIFTY SMLCAP 100","2008/2012","10","0.04","11.62","-2.4","-6.48"
"NIFTY SMLCAP 100","2009/2013","10","-1.89","-3.35","-7.23","-7.22"
"NIFTY SMLCAP 100","2010/2014","10","-0.47","-2.46","-3.37","-0.73"
"NIFTY SMLCAP 100","2011/2015","10","-2.49","-4","-3.43","-3.97"
"NIFTY SMLCAP 100","2012/2016","10","-2.23","-4","-4.24","-2.24"
"NIFTY SMLCAP 100","2013/2017","10","-4.23","-7.07","-8.05","-7.1"
"NIFTY SMLCAP 100","2014/2018","10","-4.26","-0.65","-4.15","-0.19"
