"INDEX_NAME","REAL_LS","REAL_DCA","PROB_LS_LT_0","PROB_DCA_LT_0","PROB_LS_GT_REAL","PROB_DCA_GT_REAL","ST_DATE","ED_DATE"
"NEW ZEALAND","9.71568517834616","4.85722932155859","1.485","2.09","51.005","14.33","1993-02-20","2019-07-20"
"NORWAY","8.99484421963166","3.99291569195808","5.66028301415071","6.71533576678834","44.3522176108805","15.4607730386519","1993-02-20","2019-07-20"
"PAKISTAN","3.99305708978004","2.27352371660956","28.8580479710364","25.9918539749585","49.4946447427968","38.9852667571781","1993-02-20","2019-07-20"
"PERU","15.2566919855763","8.50401625159787","0.930046502325116","1.31006550327516","48.7974398719936","14.5357267863393","1993-02-20","2019-07-20"
"PHILIPPINES","4.3238404205781","4.29250860635078","20.9020902090209","19.9019901990199","52.4352435243524","35.6535653565357","1993-02-20","2019-07-20"
"POLAND","10.152058692614","2.14756266415341","9.54338128414616","9.52834444388752","52.6540023056488","31.8329908275274","1993-02-20","2019-07-20"
"PORTUGAL","4.51494133620995","0.66191762113077","16.185","17.04","48.635","26.11","1993-02-20","2019-07-20"
"SINGAPORE","6.70241720123796","3.55153762976679","12.5533428165007","12.4009347693558","48.9991871570819","24.4106888843731","1993-02-20","2019-07-20"
"SOUTH AFRICA","9.04363000227015","4.05284820249172","5.52","6.39","48.055","18.975","1993-02-20","2019-07-20"
"SPAIN","8.45838655816238","3.13124732475911","4.23","5.295","49.2","17.545","1993-02-20","2019-07-20"
"SRI LANKA","5.33909259595648","3.44518271294594","22.5717300638159","20.8883975679614","50.7512185317321","36.1439123662128","1993-02-20","2019-07-20"
"SWEDEN","11.8213783781673","4.9283230509088","1.34006700335017","2.03510175508775","47.6773838691935","12.6706335316766","1993-02-20","2019-07-20"
"SWITZERLAND","10.6000182210369","4.9517989278933","0.065","0.2","49.795","5.085","1993-02-20","2019-07-20"
"TAIWAN","6.36316399663428","3.1901142852556","10.395","11.28","54.045","30.515","1993-02-20","2019-07-20"
"THAILAND","4.26514295780818","5.72855026970642","30.0988971159323","26.2724589654637","48.8220369699166","39.6572257028944","1993-02-20","2019-07-20"
"TURKEY","7.56031312444745","1.69892322932041","21.2503125781445","18.1195298824706","51.2728182045511","40.2900725181295","1993-02-20","2019-07-20"
"UNITED KINGDOM","6.71995058403332","2.42957396121632","1.96","3.035","49.695","10.94","1993-02-20","2019-07-20"
"USA","9.73728196408092","5.14493965468472","0.065","0.22","50.915","4.64","1993-02-20","2019-07-20"
