"ticker","st","ed","min_daily_return_val","min_daily_return_date","ret_1","ret_5","ret_10","ret_20","ret_50","ret_100","ret_200"
"HINDCOPPER",2016-01-01,2025-03-11,-0.194061969122629,2024-06-04,0.0748493159518537,0.104487707822405,0.0944407611685547,0.0894172878416299,0.0514065523798777,-0.0261709626650165,NA
"HINDPETRO",2016-01-01,2025-03-11,-0.239698743347603,2018-10-05,0.085408109089893,0.322840696342247,0.275595886774527,0.412482186268757,0.430351803727611,0.473265431581301,0.711256880990305
"HITECHGEAR",2016-01-01,2025-03-11,-0.199888024250102,2020-03-23,-0.0543755610373272,0.0213317877564867,0.123191427703051,0.352370316442722,0.465242191420634,0.752231779981481,1.53199414754133
"HONAUT",2016-01-01,2025-03-11,-0.199998406571092,2020-03-23,0.0818146098827464,0.191340829876291,0.333611246314544,0.377142824603486,0.406804926284367,0.524882639754561,0.990268613900474
"HOVS",2016-01-01,2025-03-11,-0.199279093717817,2019-06-19,0.0514469453376205,0.0565916398713826,0.0385852090032153,-0.171704180064309,-0.0482315112540196,-0.397427652733119,-0.555627009646303
"IDEA",2016-01-01,2025-03-11,-0.350515463917526,2020-03-18,0.0476190476190477,0.0634920634920637,-0.0317460317460316,0.174603174603175,1.73015873015873,1.87301587301587,2.79365079365079
"IGL",2016-01-01,2025-03-11,-0.198989650073928,2024-11-18,-0.0141516689740041,-0.00276880479926167,0.056914320873712,0.2130441470543,0.177664974619289,NA,NA
"IIFL",2016-01-01,2025-03-11,-0.200000430954143,2024-03-06,0.0995558476468543,-0.0304805949325154,-0.120093517099462,0.111591595312293,0.0596090705122156,0.160479329004037,0.112400981498589
"IITL",2016-01-01,2025-03-11,-0.198956294846706,2019-07-29,0.00977198697068404,-0.0610749185667753,-0.104234527687296,-0.00244299674267101,0.0187296416938112,-0.0684039087947877,-0.0171009771986966
"IMAGICAA",2016-01-01,2025-03-11,-0.19831223628692,2018-09-27,-0.1,-0.147368421052632,-0.18421052631579,-0.389473684210526,-0.428947368421053,-0.518421052631579,-0.781578947368421
"INDIAGLYCO",2016-01-01,2025-03-11,-0.199789049520534,2020-03-12,0.0524004543892038,-0.0867459950691032,-0.100835247489591,0.117569791768635,0.190665898727665,0.225892444527411,0.420740271950573
"INDIGO",2016-01-01,2025-03-11,-0.191635246516998,2016-01-22,-0.0677474211249331,-0.0890734569508433,-0.148662383883897,-0.153258005161563,0.023185091819826,0.0733763354645562,-0.107809451390561
"INDORAMA",2016-01-01,2025-03-11,-0.198170731707317,2020-03-19,-0.0380228136882129,-0.338403041825095,-0.0152091254752851,-0.0532319391634979,0.136882129277567,0.262357414448669,2.07984790874525
"INDOWIND",2016-01-01,2025-03-11,-0.194443575384038,2019-07-30,0.103464346745378,0.0862202889544819,0.0689762311635855,0.137952462327171,0.0172440577908968,0.000000000000000444089209850063,0.155196520118067
"INDSWFTLAB",2016-01-01,2025-03-11,-0.196110210696921,2023-09-07,-0.0660282258064516,-0.0776209677419356,-0.136592741935484,-0.0912298387096775,-0.0665322580645163,0.0977822580645158,0.344052419354839
"INDUSINDBK",2016-01-01,2025-03-11,-0.271571349250416,2025-03-11,NA,NA,NA,NA,NA,NA,NA
"INDUSTOWER",2016-01-01,2025-03-11,-0.228908678127428,2020-03-18,-0.172448268668349,-0.0160124068599858,0.0346896120100926,0.0877218533140722,0.496723124702327,0.393823336075544,0.841934556962526
"INSECTICID",2016-01-01,2025-03-11,-0.199930770593065,2020-03-23,-0.0340147233914108,0.326429996813844,0.439816879915483,0.744440158972381,0.723072795264366,1.09790887595794,1.0815823453457
"INVENTURE",2016-01-01,2025-03-11,-0.201298701298701,2024-08-30,-0.0203252032520325,-0.0162601626016261,0.00813008130081294,-0.0487804878048781,-0.109756097560976,-0.203252032520325,NA
"ISFT",2016-01-01,2025-03-11,-0.1999360797444,2018-08-16,-0.0486640122532156,-0.07179908573328,-0.202832311739895,-0.299185495243274,-0.504193587984357,-0.318719436034865,-0.512652052628759
"JAICORPLTD",2016-01-01,2025-03-11,-0.199871154775326,2025-01-02,-0.091988727858293,-0.226247987117552,-0.371980676328502,-0.477657004830918,NA,NA,NA
"JINDRILL",2016-01-01,2025-03-11,-0.199640650495939,2020-03-23,-0.0440165849635773,-0.0406262885417146,0.0632129930819623,0.171565034132038,0.774270399047051,0.655758922435516,1.0927291886196
"JINDWORLD",2016-01-01,2025-03-11,-0.199363997482038,2020-03-18,-0.109341322235628,-0.273339749759384,-0.230665997912402,-0.280009217964185,-0.0426737518469815,0.233322940530575,0.56933129092166
